mmOrderId,orderDate,listingId,qty,grossAmount,buyerState
MM-7002680,2025-11-17,ML-200070,2,315.34,NJ
MM-7002681,2026-02-07,ML-200046,3,102.76,GA
MM-7002682,2026-05-23,ML-200064,1,195.78,NJ
MM-7002683,2025-11-26,ML-200043,3,190.61,NY
MM-7002684,2026-03-07,ML-200074,1,24.36,CA
MM-7002685,2025-11-26,ML-200017,4,489.96,CA
MM-7002686,2025-08-23,ML-200061,2,366.87,OH
MM-7002687,2026-04-06,ML-200040,1,79.6,IL
MM-7002688,2026-03-22,ML-200053,1,262.26,TX
MM-7002689,2025-07-05,ML-200088,4,687.71,NY
MM-7002690,2025-11-04,ML-200082,1,71.18,WA
MM-7002691,2026-03-23,ML-200057,3,643.85,NY
MM-7002692,2025-07-26,ML-200059,2,363.53,WA
MM-7002693,2026-05-05,ML-200012,4,556.49,OH
MM-7002694,2025-08-22,ML-200085,4,1089.13,OH
MM-7002695,2025-11-13,ML-200004,4,959.16,PA
MM-7002696,2025-07-20,ML-200079,1,48.12,CA
MM-7002697,2026-02-15,ML-200100,3,176.78,NJ
MM-7002698,2026-05-04,ML-200100,4,236.66,TX
MM-7002699,2026-05-22,ML-200001,1,318.22,PA
MM-7002700,2025-09-26,ML-200097,2,42.24,TX
MM-7002701,2025-10-06,ML-200010,3,390.01,FL
MM-7002702,2026-03-28,ML-200047,2,626.89,TX
MM-7002703,2026-02-09,ML-200097,3,62.5,CA
MM-7002704,2025-09-24,ML-200069,3,323.72,IL
MM-7002705,2026-02-04,ML-200022,1,114.61,NJ
MM-7002706,2025-06-16,ML-200029,4,79.07,IL
MM-7002707,2026-05-19,ML-200018,4,105.91,PA
MM-7002708,2026-05-11,ML-200028,1,210.69,CA
MM-7002709,2026-02-22,ML-200045,2,211.7,CA
MM-7002710,2025-10-16,ML-200031,2,62.16,NJ
MM-7002711,2026-02-21,ML-200058,2,164.68,FL
MM-7002712,2025-10-29,ML-200006,1,16.41,NY
MM-7002713,2025-06-08,ML-200028,1,216.27,IL
MM-7002714,2025-06-09,ML-200089,2,213.51,GA
MM-7002715,2026-01-06,ML-200034,4,152.88,CA
MM-7002716,2025-09-28,ML-200084,3,183.74,NY
MM-7002717,2025-11-13,ML-200069,3,342.41,FL
MM-7002718,2025-11-28,ML-200031,4,121.72,FL
MM-7002719,2025-12-05,ML-200022,1,115.66,WA
MM-7002720,2025-07-24,ML-200066,3,352.14,PA
MM-7002721,2026-03-26,ML-200040,4,319.4,IL
MM-7002722,2026-01-01,ML-200024,1,27.49,CA
MM-7002723,2025-08-16,ML-200024,3,82.01,FL
MM-7002724,2026-05-13,ML-200008,3,51.47,IL
MM-7002725,2025-07-30,ML-200009,4,557.03,PA
MM-7002726,2026-05-28,ML-200083,3,133.09,NJ
MM-7002727,2026-02-04,ML-200064,4,786.21,FL
MM-7002728,2026-01-17,ML-200088,2,353.91,CA
MM-7002729,2026-02-10,ML-200051,2,698.32,IL
MM-7002730,2025-09-07,ML-200007,3,613.29,IL
MM-7002731,2025-10-30,ML-200015,1,258.76,PA
MM-7002732,2026-03-24,ML-200036,3,105.63,NY
MM-7002733,2025-12-19,ML-200045,4,420.08,TX
MM-7002734,2026-01-22,ML-200051,2,703.35,FL
MM-7002735,2025-08-14,ML-200070,3,469.94,OH
MM-7002736,2026-02-19,ML-200019,1,115.81,TX
MM-7002737,2026-03-19,ML-200038,1,107.71,NY
MM-7002738,2025-10-18,ML-200085,2,550.61,GA
MM-7002739,2025-09-25,ML-200090,1,48.94,NY
MM-7002740,2025-09-02,ML-200009,4,537.79,PA
MM-7002741,2026-03-11,ML-200092,4,1156.06,WA
MM-7002742,2025-08-30,ML-200029,2,40.02,OH
MM-7002743,2025-10-05,ML-200061,1,180.39,IL
MM-7002744,2026-02-23,ML-200082,3,217.0,NY
MM-7002745,2025-12-10,ML-200045,1,104.07,OH
MM-7002746,2025-08-16,ML-200082,3,216.08,OH
MM-7002747,2025-06-23,ML-200080,4,330.73,IL
MM-7002748,2025-12-09,ML-200059,2,365.04,CA
MM-7002749,2025-08-13,ML-200001,3,970.94,IL
MM-7002750,2025-12-27,ML-200076,2,157.6,IL
MM-7002751,2026-01-16,ML-200082,3,219.58,PA
MM-7002752,2025-09-02,ML-200064,3,579.24,FL
MM-7002753,2026-04-04,ML-200065,2,354.68,TX
MM-7002754,2026-05-26,ML-200081,4,679.43,FL
MM-7002755,2025-08-04,ML-200061,2,366.41,FL
MM-7002756,2026-01-24,ML-200049,4,1297.79,GA
MM-7002757,2025-11-16,ML-200044,2,477.37,NJ
MM-7002758,2026-03-28,ML-200091,2,1238.48,GA
MM-7002759,2025-07-19,ML-200041,2,370.8,NJ
MM-7002760,2026-05-26,ML-200054,3,66.36,GA
MM-7002761,2025-08-22,ML-200022,1,115.35,OH
MM-7002762,2026-01-19,ML-200083,1,43.7,OH
MM-7002763,2026-03-15,ML-200077,1,74.97,NJ
MM-7002764,2025-10-26,ML-200069,2,226.84,NY
MM-7002765,2025-10-07,ML-200021,3,918.46,TX
MM-7002766,2026-01-18,ML-200037,2,531.35,IL
MM-7002767,2026-05-03,ML-200089,1,103.43,TX
MM-7002768,2026-02-16,ML-200036,1,35.26,WA
MM-7002769,2026-01-10,ML-200045,1,101.7,FL
MM-7002770,2026-03-12,ML-200094,1,30.82,TX
MM-7002771,2025-08-29,ML-200071,3,306.46,CA
MM-7002772,2025-07-03,ML-200023,4,618.69,IL
MM-7002773,2026-04-30,ML-200006,2,32.86,NJ
MM-7002774,2025-06-03,ML-200002,1,152.91,WA
MM-7002775,2025-07-30,ML-200072,2,158.11,TX
MM-7002776,2026-05-23,ML-200010,3,378.5,CA
MM-7002777,2026-01-09,ML-200016,2,482.94,TX
MM-7002778,2026-05-05,ML-200087,4,40.94,NJ
MM-7002779,2025-09-19,ML-200015,1,260.32,CA
MM-7002780,2025-08-01,ML-200080,1,80.94,IL
MM-7002781,2025-12-09,ML-200073,4,705.61,TX
MM-7002782,2026-02-13,ML-200058,3,247.92,GA
MM-7002783,2025-12-27,ML-200006,1,16.32,PA
MM-7002784,2026-05-27,ML-200012,2,277.93,PA
MM-7002785,2025-10-18,ML-200090,4,192.87,OH
MM-7002786,2026-01-19,ML-200016,3,706.66,NY
MM-7002787,2025-07-17,ML-200074,2,48.27,CA
MM-7002788,2025-06-16,ML-200051,3,1054.62,NY
MM-7002789,2025-06-25,ML-200087,3,29.7,CA
MM-7002790,2025-10-26,ML-200016,2,477.46,IL
MM-7002791,2025-06-11,ML-200043,4,251.59,PA
MM-7002792,2026-01-18,ML-200024,1,27.79,NY
MM-7002793,2026-03-17,ML-200098,2,68.7,PA
MM-7002794,2025-11-11,ML-200054,3,63.73,IL
MM-7002795,2026-04-29,ML-200079,3,140.51,FL
MM-7002796,2025-09-09,ML-200022,2,239.59,NJ
MM-7002797,2026-05-22,ML-200024,1,27.53,TX
MM-7002798,2025-11-12,ML-200080,2,166.97,PA
MM-7002799,2025-08-02,ML-200070,2,314.74,IL
MM-7002800,2026-01-28,ML-200020,1,74.92,TX
MM-7002801,2026-04-18,ML-200013,3,235.94,OH
MM-7002802,2026-05-09,ML-200073,2,353.16,NJ
MM-7002803,2026-03-12,ML-200029,2,39.95,PA
MM-7002804,2025-07-01,ML-200062,4,282.66,TX
MM-7002805,2025-12-30,ML-200053,4,1047.74,WA
MM-7002806,2026-02-22,ML-200044,3,725.93,CA
MM-7002807,2026-02-08,ML-200025,3,522.59,IL
MM-7002808,2026-04-03,ML-200024,3,82.57,NY
MM-7002809,2026-04-19,ML-200101,1,53.35,TX
MM-7002810,2026-01-18,ML-200056,2,459.7,NY
MM-7002811,2025-07-11,ML-200038,4,438.17,TX
MM-7002812,2026-03-07,ML-200072,2,160.68,OH
MM-7002813,2025-09-25,ML-200071,3,319.43,OH
MM-7002814,2026-03-12,ML-200066,2,237.27,NJ
MM-7002815,2025-12-01,ML-200057,4,880.63,TX
MM-7002816,2025-06-07,ML-200034,3,116.29,OH
MM-7002817,2026-03-07,ML-200059,2,370.57,GA
MM-7002818,2025-11-03,ML-200059,2,358.35,WA
MM-7002819,2025-10-17,ML-200084,4,242.38,NJ
MM-7002820,2026-02-27,ML-200009,4,547.8,FL
MM-7002821,2026-02-22,ML-200028,2,431.08,NY
MM-7002822,2025-12-06,ML-200069,1,111.98,NJ
MM-7002823,2025-11-30,ML-200030,4,431.35,FL
MM-7002824,2026-05-13,ML-200007,4,841.54,IL
MM-7002825,2026-01-09,ML-200043,1,63.18,CA
MM-7002826,2026-02-12,ML-200038,3,331.25,GA
MM-7002827,2025-07-10,ML-200059,1,185.45,OH
MM-7002828,2026-01-11,ML-200082,2,148.19,WA
MM-7002829,2026-02-08,ML-200011,4,771.32,WA
MM-7002830,2026-01-29,ML-200017,3,369.78,TX
MM-7002831,2025-06-24,ML-200077,3,228.52,NY
MM-7002832,2025-08-08,ML-200026,3,823.32,CA
MM-7002833,2025-06-02,ML-200080,3,241.45,NJ
MM-7002834,2026-05-08,ML-200079,4,192.93,IL
MM-7002835,2025-11-09,ML-200085,2,552.8,GA
MM-7002836,2026-05-23,ML-200006,1,16.31,IL
MM-7002837,2026-05-19,ML-200070,2,323.56,TX
MM-7002838,2026-04-02,ML-200093,4,193.94,CA
MM-7002839,2026-05-30,ML-200081,1,179.84,NY
MM-7002840,2026-04-18,ML-200047,1,315.49,NY
MM-7002841,2025-11-17,ML-200015,1,253.77,NJ
MM-7002842,2025-06-22,ML-200043,2,123.65,IL
MM-7002843,2026-03-03,ML-200040,3,248.64,WA
MM-7002844,2026-02-13,ML-200015,4,1020.99,WA
MM-7002845,2025-08-08,ML-200020,2,147.54,OH
MM-7002846,2025-10-16,ML-200053,1,259.27,TX
MM-7002847,2026-01-23,ML-200088,1,176.02,FL
MM-7002848,2025-08-13,ML-200063,2,251.32,GA
MM-7002849,2026-05-21,ML-200068,2,31.31,TX
MM-7002850,2025-11-13,ML-200054,2,42.95,IL
MM-7002851,2025-10-13,ML-200026,4,1098.62,GA
MM-7002852,2025-08-05,ML-200027,3,531.92,IL
MM-7002853,2025-08-06,ML-200034,4,156.95,OH
MM-7002854,2025-06-22,ML-200086,1,50.71,FL
MM-7002855,2025-09-10,ML-200008,1,17.23,PA
MM-7002856,2025-12-09,ML-200073,3,516.17,IL
MM-7002857,2025-07-26,ML-200047,2,616.68,GA
MM-7002858,2026-02-15,ML-200030,3,332.26,PA
MM-7002859,2025-12-13,ML-200032,3,467.73,TX
MM-7002860,2026-04-28,ML-200040,3,246.65,FL
MM-7002861,2025-08-23,ML-200024,2,54.75,OH
MM-7002862,2025-08-12,ML-200065,1,178.4,TX
MM-7002863,2026-05-07,ML-200002,4,603.68,NY
MM-7002864,2026-03-08,ML-200027,4,720.06,OH
MM-7002865,2026-01-29,ML-200046,2,67.64,CA
MM-7002866,2025-06-07,ML-200044,3,727.38,NY
MM-7002867,2025-11-28,ML-200065,4,708.07,PA
MM-7002868,2025-12-25,ML-200031,1,30.98,PA
MM-7002869,2025-09-26,ML-200084,4,247.3,WA
MM-7002870,2025-11-30,ML-200042,4,431.93,NJ
MM-7002871,2025-06-25,ML-200035,3,427.03,OH
MM-7002872,2026-03-15,ML-200084,4,250.03,CA
MM-7002873,2025-08-20,ML-200009,4,554.08,OH
MM-7002874,2025-08-27,ML-200048,3,499.47,IL
MM-7002875,2025-11-08,ML-200019,3,353.88,GA
MM-7002876,2025-08-09,ML-200087,4,39.1,NY
MM-7002877,2025-11-11,ML-200086,1,49.98,FL
MM-7002878,2026-01-29,ML-200003,4,520.71,GA
MM-7002879,2026-01-19,ML-200033,1,352.3,CA
MM-7002880,2026-04-23,ML-200019,3,365.02,CA
MM-7002881,2025-12-13,ML-200027,1,178.53,NJ
MM-7002882,2026-03-19,ML-200085,3,793.83,GA
MM-7002883,2026-02-27,ML-200084,3,182.92,CA
MM-7002884,2025-06-17,ML-200035,2,283.54,CA
MM-7002885,2025-08-10,ML-200010,1,129.88,CA
MM-7002886,2025-09-02,ML-200023,1,155.67,FL
MM-7002887,2025-12-11,ML-200049,1,323.0,GA
MM-7002888,2025-12-13,ML-200097,2,42.11,NY
MM-7002889,2026-04-25,ML-200052,4,98.91,GA
MM-7002890,2026-01-15,ML-200094,3,90.21,WA
MM-7002891,2026-04-18,ML-200061,2,356.03,PA
MM-7002892,2025-06-27,ML-200046,4,140.12,NJ
MM-7002893,2026-03-12,ML-200009,1,135.19,TX
MM-7002894,2025-12-14,ML-200081,3,533.13,NJ
MM-7002895,2025-10-23,ML-200030,4,433.28,CA
MM-7002896,2026-01-29,ML-200002,3,449.9,FL
MM-7002897,2025-09-03,ML-200027,3,527.46,NJ
MM-7002898,2026-03-14,ML-200028,1,214.39,TX
MM-7002899,2025-12-07,ML-200088,3,529.85,OH
MM-7002900,2026-03-08,ML-200045,1,102.37,NJ
MM-7002901,2025-10-21,ML-200011,2,381.08,GA
MM-7002902,2025-07-08,ML-200038,2,220.64,NY
MM-7002903,2025-10-17,ML-200031,1,31.58,OH
MM-7002904,2025-10-15,ML-200071,3,314.15,NY
MM-7002905,2026-04-11,ML-200064,1,191.73,OH
MM-7002906,2025-06-08,ML-200046,3,103.42,NJ
MM-7002907,2025-08-27,ML-200074,2,47.72,NY
MM-7002908,2026-03-28,ML-200025,4,704.88,FL
MM-7002909,2026-01-30,ML-200023,1,151.26,TX
MM-7002910,2025-12-09,ML-200035,4,559.28,OH
MM-7002911,2026-05-31,ML-200030,2,213.09,GA
MM-7002912,2025-10-26,ML-200067,3,302.62,WA
MM-7002913,2025-09-15,ML-200066,2,241.54,TX
MM-7002914,2025-08-10,ML-200075,3,438.76,OH
MM-7002915,2026-01-02,ML-200025,2,351.94,OH
MM-7002916,2025-12-22,ML-200006,4,64.28,IL
MM-7002917,2025-10-13,ML-200061,3,543.52,GA
MM-7002918,2025-12-12,ML-200001,3,952.55,NY
MM-7002919,2025-11-07,ML-200010,2,256.65,WA
MM-7002920,2026-02-21,ML-200051,4,1393.1,TX
MM-7002921,2025-10-26,ML-200080,4,331.05,NJ
MM-7002922,2025-08-08,ML-200099,2,70.29,CA
MM-7002923,2026-01-13,ML-200055,2,116.68,TX
MM-7002924,2025-06-18,ML-200073,1,172.87,OH
MM-7002925,2025-11-22,ML-200006,3,47.36,PA
MM-7002926,2025-12-04,ML-200087,3,29.78,NJ
MM-7002927,2025-07-21,ML-200050,2,20.64,CA
MM-7002928,2025-11-30,ML-200030,4,432.79,NY
MM-7002929,2025-12-09,ML-200002,3,452.12,PA
MM-7002930,2025-11-25,ML-200073,1,174.93,OH
MM-7002931,2025-12-02,ML-200061,3,537.93,CA
MM-7002932,2025-12-24,ML-200025,1,172.81,PA
MM-7002933,2026-03-30,ML-200094,3,88.66,NY
MM-7002934,2025-07-23,ML-200006,3,48.91,GA
MM-7002935,2025-07-23,ML-200062,1,72.66,WA
MM-7002936,2026-05-16,ML-200055,2,118.55,FL
MM-7002937,2025-10-28,ML-200094,1,29.78,WA
MM-7002938,2025-07-17,ML-200040,3,243.94,NY
MM-7002939,2026-03-06,ML-200030,3,324.51,CA
MM-7002940,2025-06-08,ML-200099,2,68.72,CA
MM-7002941,2026-05-02,ML-200028,4,870.77,NJ
MM-7002942,2025-07-28,ML-200007,4,817.22,TX
MM-7002943,2025-11-11,ML-200021,3,881.35,NY
MM-7002944,2025-11-04,ML-200089,4,425.64,NY
MM-7002945,2025-09-17,ML-200067,3,307.5,TX
MM-7002946,2025-09-13,ML-200030,2,221.82,NJ
MM-7002947,2025-08-07,ML-200066,4,475.42,CA
MM-7002948,2026-02-09,ML-200032,1,152.67,CA
MM-7002949,2025-07-30,ML-200048,2,352.45,NJ
MM-7002950,2025-10-05,ML-200100,2,117.25,IL
MM-7002951,2026-05-19,ML-200061,2,362.41,OH
MM-7002952,2025-10-25,ML-200015,4,1015.01,WA
MM-7002953,2025-12-11,ML-200078,2,323.11,FL
MM-7002954,2025-08-09,ML-200052,2,49.53,WA
MM-7002955,2025-12-17,ML-200003,3,407.07,WA
MM-7002956,2025-11-03,ML-200056,2,467.63,GA
MM-7002957,2025-07-28,ML-200037,3,807.3,CA
MM-7002958,2026-01-07,ML-200048,1,165.48,OH
MM-7002959,2025-09-09,ML-200074,3,72.11,NJ
MM-7002960,2025-11-10,ML-200094,2,58.99,NY
MM-7002961,2025-10-10,ML-200075,2,283.17,OH
MM-7002962,2026-04-12,ML-200094,4,117.64,OH
MM-7002963,2026-04-23,ML-200023,3,457.71,GA
MM-7002964,2026-02-02,ML-200021,4,1181.44,TX
MM-7002965,2025-12-11,ML-200063,2,250.11,IL
MM-7002966,2026-02-16,ML-200094,1,29.8,PA
MM-7002967,2025-11-20,ML-200003,2,267.76,GA
MM-7002968,2025-10-15,ML-200080,1,82.66,GA
MM-7002969,2025-09-23,ML-200004,4,963.1,IL
MM-7002970,2025-07-09,ML-200075,4,569.01,PA
MM-7002971,2025-12-03,ML-200040,3,241.28,NY
MM-7002972,2026-05-17,ML-200039,3,126.57,GA
MM-7002973,2026-03-20,ML-200092,3,867.14,CA
MM-7002974,2025-08-23,ML-200058,3,248.64,NJ
MM-7002975,2026-04-13,ML-200096,2,12.59,OH
MM-7002976,2026-02-16,ML-200056,4,925.55,PA
MM-7002977,2025-11-14,ML-200035,4,558.98,IL
MM-7002978,2026-04-07,ML-200094,3,91.55,GA
MM-7002979,2026-01-31,ML-200015,1,256.4,OH
MM-7002980,2025-08-21,ML-200047,1,306.78,CA
MM-7002981,2026-01-22,ML-200047,2,622.6,WA
MM-7002982,2025-06-06,ML-200051,2,717.56,CA
MM-7002983,2025-09-26,ML-200042,3,310.69,IL
MM-7002984,2025-07-26,ML-200008,2,34.21,TX
MM-7002985,2025-06-02,ML-200050,3,30.86,NJ
MM-7002986,2025-06-10,ML-200016,1,234.06,IL
MM-7002987,2026-04-15,ML-200001,3,964.68,NY
MM-7002988,2026-04-21,ML-200001,4,1280.21,TX
MM-7002989,2026-03-07,ML-200060,2,425.23,FL
MM-7002990,2025-08-11,ML-200017,4,494.3,PA
MM-7002991,2025-07-20,ML-200052,1,24.15,TX
MM-7002992,2025-07-28,ML-200006,1,16.48,CA
MM-7002993,2026-03-30,ML-200057,4,843.42,CA
MM-7002994,2025-07-09,ML-200060,3,637.02,IL
MM-7002995,2025-12-18,ML-200085,4,1128.24,GA
MM-7002996,2025-11-03,ML-200080,3,247.49,CA
MM-7002997,2026-02-13,ML-200011,4,748.37,NJ
MM-7002998,2026-02-26,ML-200070,1,158.32,GA
MM-7002999,2025-08-18,ML-200053,4,1040.97,IL
MM-7003000,2026-01-30,ML-200080,3,248.76,PA
MM-7003001,2025-08-13,ML-200010,4,519.39,WA
MM-7003002,2026-02-15,ML-200010,4,533.46,WA
MM-7003003,2026-04-12,ML-200079,3,141.43,NY
MM-7003004,2026-01-29,ML-200001,3,940.33,OH
MM-7003005,2026-02-25,ML-200032,2,306.06,NJ
MM-7003006,2025-12-09,ML-200065,3,536.24,IL
MM-7003007,2025-09-24,ML-200090,4,191.9,TX
MM-7003008,2026-01-31,ML-200044,1,238.86,FL
MM-7003009,2025-08-29,ML-200046,3,104.41,GA
MM-7003010,2026-01-22,ML-200077,1,74.82,IL
MM-7003011,2026-03-20,ML-200008,3,51.26,TX
MM-7003012,2026-05-06,ML-200002,4,625.64,GA
MM-7003013,2025-11-25,ML-200027,2,346.33,GA
MM-7003014,2026-01-18,ML-200070,2,321.51,FL
MM-7003015,2026-01-11,ML-200002,2,299.26,NJ
MM-7003016,2025-07-23,ML-200034,1,39.01,FL
MM-7003017,2025-07-01,ML-200053,3,792.37,FL
MM-7003018,2026-02-05,ML-200015,1,254.62,GA
MM-7003019,2025-12-30,ML-200070,3,471.51,TX
MM-7003020,2025-07-29,ML-200085,3,811.15,FL
MM-7003021,2025-08-02,ML-200049,3,993.96,GA
MM-7003022,2026-02-23,ML-200022,4,461.91,IL
MM-7003023,2026-05-27,ML-200081,1,176.76,PA
MM-7003024,2025-12-31,ML-200055,3,175.49,NY
MM-7003025,2025-12-18,ML-200070,3,489.31,WA
MM-7003026,2026-01-27,ML-200027,3,520.38,OH
MM-7003027,2025-06-20,ML-200086,2,98.15,NY
MM-7003028,2026-02-28,ML-200064,4,780.8,NY
MM-7003029,2026-05-02,ML-200067,4,407.52,CA
MM-7003030,2025-12-03,ML-200072,4,320.74,CA
MM-7003031,2025-11-27,ML-200007,3,629.05,FL
MM-7003032,2026-01-04,ML-200083,2,89.44,PA
MM-7003033,2026-01-15,ML-200002,4,620.07,CA
MM-7003034,2026-03-25,ML-200041,3,569.31,NJ
MM-7003035,2025-08-23,ML-200034,2,78.76,CA
MM-7003036,2025-06-14,ML-200005,4,294.14,GA
MM-7003037,2026-03-21,ML-200006,1,15.98,IL
MM-7003038,2025-08-22,ML-200082,2,147.44,IL
MM-7003039,2025-09-03,ML-200069,3,334.59,NJ
MM-7003040,2026-05-08,ML-200035,4,549.6,OH
MM-7003041,2025-11-26,ML-200064,3,576.55,IL
MM-7003042,2026-02-03,ML-200091,3,1790.34,CA
MM-7003043,2025-12-19,ML-200069,4,444.34,TX
MM-7003044,2025-11-20,ML-200090,3,146.0,WA
MM-7003045,2026-05-10,ML-200079,4,186.31,IL
MM-7003046,2025-09-18,ML-200028,1,216.88,FL
MM-7003047,2025-08-11,ML-200021,1,299.18,TX
MM-7003048,2025-07-01,ML-200076,4,302.45,WA
MM-7003049,2026-05-01,ML-200057,3,646.66,IL
MM-7003050,2026-05-26,ML-200086,3,149.87,PA
MM-7003051,2025-12-12,ML-200023,2,306.41,OH
MM-7003052,2025-07-06,ML-200042,2,214.99,TX
MM-7003053,2025-11-10,ML-200009,1,136.11,NY
MM-7003054,2026-02-16,ML-200076,4,307.47,TX
MM-7003055,2025-06-10,ML-200087,3,29.9,NY
MM-7003056,2026-02-28,ML-200090,1,48.36,GA
MM-7003057,2025-10-09,ML-200062,1,72.71,IL
MM-7003058,2026-04-21,ML-200097,1,21.07,GA
MM-7003059,2025-11-23,ML-200091,4,2444.93,GA
MM-7003060,2025-12-04,ML-200075,3,421.47,GA
MM-7003061,2025-07-09,ML-200050,1,10.4,WA
MM-7003062,2026-02-06,ML-200043,1,62.34,GA
MM-7003063,2025-11-11,ML-200075,2,279.88,FL
MM-7003064,2025-08-24,ML-200080,1,81.32,CA
MM-7003065,2026-02-24,ML-200059,2,365.53,PA
MM-7003066,2026-03-18,ML-200029,2,39.07,OH
MM-7003067,2026-04-07,ML-200078,1,163.57,FL
MM-7003068,2026-01-06,ML-200064,2,390.84,PA
MM-7003069,2026-01-04,ML-200004,4,958.73,CA
MM-7003070,2025-06-08,ML-200066,2,238.01,OH
MM-7003071,2025-11-20,ML-200088,3,517.38,IL
MM-7003072,2025-07-04,ML-200004,4,974.02,OH
MM-7003073,2026-02-13,ML-200082,2,145.07,CA
MM-7003074,2026-05-17,ML-200031,3,95.92,TX
MM-7003075,2026-02-16,ML-200051,1,367.35,GA
MM-7003076,2025-06-13,ML-200038,2,223.84,IL
MM-7003077,2025-11-21,ML-200040,2,159.19,NJ
MM-7003078,2026-01-14,ML-200072,2,162.03,GA
MM-7003079,2025-09-04,ML-200039,4,161.33,TX
MM-7003080,2025-07-01,ML-200042,4,417.85,GA
MM-7003081,2025-08-10,ML-200060,3,633.64,WA
MM-7003082,2025-07-25,ML-200037,3,828.03,GA
MM-7003083,2026-04-20,ML-200056,4,918.64,PA
MM-7003084,2026-04-27,ML-200031,2,62.18,NJ
MM-7003085,2025-08-08,ML-200082,1,71.73,GA
MM-7003086,2026-04-03,ML-200004,2,486.22,NY
MM-7003087,2026-02-05,ML-200049,2,648.31,TX
MM-7003088,2026-02-07,ML-200084,2,124.79,GA
MM-7003089,2025-11-05,ML-200047,4,1250.98,WA
MM-7003090,2026-02-02,ML-200037,2,555.88,WA
MM-7003091,2026-03-24,ML-200087,3,30.85,NY
MM-7003092,2025-12-03,ML-200042,3,320.04,FL
MM-7003093,2025-09-10,ML-200043,3,183.08,GA
MM-7003094,2026-05-20,ML-200094,1,29.77,WA
MM-7003095,2025-09-13,ML-200087,4,39.33,NY
MM-7003096,2026-03-31,ML-200053,4,1038.67,FL
MM-7003097,2026-02-24,ML-200034,1,38.69,IL
MM-7003098,2026-04-27,ML-200001,3,947.82,OH
MM-7003099,2026-05-22,ML-200028,2,431.82,WA
MM-7003100,2025-10-07,ML-200029,4,77.81,IL
MM-7003101,2025-09-13,ML-200026,3,816.52,GA
MM-7003102,2026-01-19,ML-200076,3,235.07,NY
MM-7003103,2025-12-29,ML-200012,3,415.37,FL
MM-7003104,2025-11-20,ML-200017,3,372.04,OH
MM-7003105,2026-04-25,ML-200075,1,142.24,TX
MM-7003106,2025-06-19,ML-200059,2,363.02,OH
MM-7003107,2026-03-28,ML-200003,1,133.57,FL
MM-7003108,2025-10-14,ML-200072,3,237.24,CA
MM-7003109,2025-11-28,ML-200062,3,220.17,OH
MM-7003110,2026-03-30,ML-200045,2,213.79,NJ
MM-7003111,2025-10-22,ML-200050,3,30.88,CA
MM-7003112,2026-01-03,ML-200058,1,82.05,WA
MM-7003113,2025-12-06,ML-200076,1,77.72,IL
MM-7003114,2025-11-14,ML-200049,4,1294.11,NY
MM-7003115,2025-10-15,ML-200039,1,40.58,IL
MM-7003116,2026-04-04,ML-200038,2,214.54,PA
MM-7003117,2025-10-28,ML-200029,3,59.36,OH
MM-7003118,2026-01-31,ML-200056,4,949.59,FL
MM-7003119,2026-05-16,ML-200058,1,82.01,TX
MM-7003120,2025-07-30,ML-200090,3,146.75,CA
MM-7003121,2025-08-06,ML-200044,3,731.37,NY
MM-7003122,2026-03-27,ML-200028,3,636.76,OH
MM-7003123,2025-12-14,ML-200015,1,247.86,OH
MM-7003124,2025-09-24,ML-200043,3,188.17,GA
MM-7003125,2025-09-27,ML-200051,1,356.0,NY
MM-7003126,2026-02-10,ML-200079,4,189.45,PA
MM-7003127,2025-11-03,ML-200044,4,971.28,NJ
MM-7003128,2025-12-24,ML-200052,1,24.45,WA
MM-7003129,2026-01-21,ML-200086,4,202.42,FL
MM-7003130,2026-02-24,ML-200080,1,81.04,FL
MM-7003131,2025-10-08,ML-200065,3,539.18,NY
MM-7003132,2025-10-03,ML-200033,1,359.86,PA
MM-7003133,2026-04-25,ML-200051,4,1441.02,NJ
MM-7003134,2026-04-12,ML-200090,4,201.17,GA
MM-7003135,2025-06-07,ML-200042,1,105.64,CA
MM-7003136,2026-05-11,ML-200032,4,628.17,FL
MM-7003137,2025-10-23,ML-200071,1,104.47,NY
MM-7003138,2025-06-11,ML-200053,1,260.47,WA
MM-7003139,2026-03-07,ML-200046,4,141.03,PA
MM-7003140,2025-06-30,ML-200020,1,76.11,IL
MM-7003141,2025-07-28,ML-200040,4,325.83,GA
MM-7003142,2026-02-09,ML-200097,4,84.05,CA
MM-7003143,2026-05-03,ML-200047,2,623.83,TX
MM-7003144,2025-09-21,ML-200067,4,403.26,IL
MM-7003145,2025-10-11,ML-200084,2,120.72,OH
MM-7003146,2025-06-03,ML-200021,3,903.45,PA
MM-7003147,2026-01-14,ML-200045,4,419.21,OH
MM-7003148,2026-03-28,ML-200061,4,726.69,OH
MM-7003149,2026-03-11,ML-200090,3,145.21,IL
MM-7003150,2025-12-18,ML-200025,3,519.61,NY
MM-7003151,2025-09-23,ML-200053,4,1052.24,CA
MM-7003152,2025-07-28,ML-200041,3,584.25,GA
MM-7003153,2025-11-16,ML-200067,1,101.99,NY
MM-7003154,2025-08-18,ML-200049,4,1277.91,CA
MM-7003155,2026-01-18,ML-200018,4,107.02,GA
MM-7003156,2026-03-12,ML-200036,2,69.13,GA
MM-7003157,2025-11-10,ML-200043,2,126.06,IL
MM-7003158,2026-04-01,ML-200070,1,163.45,OH
